id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
1125899909630421,OfficeMax Tech,OfficeMax,"350 ORCHARD PARK ROAD, WEST SENECA PLAZA",350 Orchard Park Rd,WEST SENECA,NY,information_technology_company,office_equipment,0.77,0.77,conflict,"",""
08f1fb432c6d432b030f6b6a47ed6ec0,Gare de Creil,Gare SNCF de Creil,"Place Charles de Gaulle, 60100 Creil",Place Charles de Gaulle,Creil,,train_station,Travel and Transportation > Transport Hub > Rail Station,0.6214335421016005,1.0,conflict,"",""
08f1f895b1880a940382fd5955cc8c45,Ehstandhof Pension & Apartments,Ehstandhof,Ehstandweg 2,Ehstandweg 2,Uderns,,bed_and_breakfast,Travel and Transportation > Lodging > Hostel,0.7927927927927928,1.0,conflict,"",""
08f1f1046938a0020354dde363732179,Die Goldschmiede,"Die Goldschmiede, Kaufmann",Scharrnstraße 4,Lange Str. 31,Lübbecke,,jewelry_store,Retail > Fashion Retail > Jewelry Store,0.9649446494464945,1.0,conflict,"",""
08f2aaaaad1196b103717a39c156cecf,Brothers Mechanical Services,Brothers Mechanical Services®,8996 Mike Garcia Dr,8996 Mike Garcia Dr,Manassas,VA,hvac_services,hvac_services,0.9877528662420382,0.77,conflict,"",""
08f26962083a02f40376a90056fc0453,Steve & Lori Robinson Realtors,Steve & Lori Robinson Realtors - BHHS Elite Real Estate,825 E 1180 S,825 E 1180 S Ste 300,American Fork,UT,real_estate_agent,real_estate_agent,0.9872500778573653,0.77,conflict,"",""
08fc99348d15b1b60334905403e7ce3d,West Coast Hifi,West Coast Hi-Fi Rockingham,4-6 Commodore Dr,4/4 Cessnock Way,Rockingham,WA,home_theater_systems_stores,home_theater_systems_stores,0.9962614185921548,0.77,conflict,"",""
08fa81031342d69903a4301c8d4f2227,CVC SP - Parque Shopping Barueri,CVC,"Rua General Divisão Pedro R. da Silva, 400","Rua General De Divisão De Pedro Rodrigues Da, 400",Barueri,SP,travel_services,Travel and Transportation > Travel Agency,0.48103896103896104,1.0,conflict,"",""
08f1f840ea021482035b7b83cdf340f6,Ecole Primaire Emile Gebhart,Ecole Primaire Gebhart,31 Rue Émile Gebhart,33 rue emile gebhart,Nancy,,elementary_school,Community and Government > Education > College and University > Student Center,0.6214335421016005,1.0,conflict,"",""
08f44e150b4332ab03ddd7cd318987fc,Dothan Nails Spa,Dothan Nails,3341 S Oates St,3341 S Oates St Ste 104,Dothan,AL,nail_salon,nail_salon,0.9962614185921548,0.77,conflict,"",""
08f44a912c6344da0349baa53689eb86,Bitcoin Depot,Bitcoin Depot ATM,3915 W Vine St,3915 W Vine St,Kissimmee,FL,atms,Business and Professional Services > Financial Service > Banking and Finance > ATM,0.9877528662420382,1.0,conflict,"",""
